relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
0,0.9798816883916339,-0.2729473412036896,1.1205205917358398,10.367210388183594
22,,,1.053480863571167,
23,0.610389207823429,-0.3782954216003418,,9.624984741210938
88,0.4810381515950535,-0.5889915823936462,0.10534809529781342,
89,,,,9.926663398742676
147,,,0.73504239320755,
148,0.9544931192005185,-1.0319324731826782,,9.275420188903809
204,0.6940178766380485,-0.11492519080638885,1.0367209911346436,9.974549293518066
269,1.2226473286946138,-1.1253091096878052,1.118126392364502,10.30495834350586
334,1.3278917893249036,-0.7733507752418518,1.5658557415008545,9.462174415588379
404,,,1.3910737037658691,
406,1.1159512275272354,-0.9337671995162964,,9.2802095413208
461,1.3177311961888285,-0.6871568560600281,1.3288224935531616,10.850852966308594
525,1.2434882305464119,,,
526,,-0.6536370515823364,1.5227587223052979,10.580300331115723
590,1.1168956775597696,-0.572231650352478,1.5131816864013672,10.688042640686035
652,1.9398110050874477,-0.33280420303344727,1.0439038276672363,
653,,,,11.69363784790039
716,,,0.13886794447898865,
717,2.413998204828715,-0.2897072434425354,,12.067145347595215
780,1.222388533754771,-0.15562786161899567,-0.06703969836235046,
781,,,,10.482134819030762
843,,,0.08379961550235748,
844,0.93017145591391,-0.05746259540319443,,9.720755577087402
919,0.5433881498351115,-0.45012366771698,0.4381522834300995,
920,,,,9.596253395080566
976,0.6745672622550734,-0.05746259540319443,0.8978530764579773,
977,,,,9.146129608154297
1036,0.9559731687367774,-0.1771763414144516,1.4868446588516235,8.933039665222168
1102,1.1424137877609981,-0.3064671754837036,1.7190892696380615,8.78219985961914
1180,0.8281607710112251,,1.9010541439056396,
1181,,-0.38068968057632446,,10.008069038391113
1227,0.2644417719467765,-0.4189980924129486,1.41022789478302,9.78300666809082
1291,0.16863098561505954,,,
1309,,-0.9074301719665527,0.8858816623687744,10.877190589904785
1359,1.5981978638605234,-1.3886793851852417,0.03351984918117523,10.458192825317383
1424,0.6714580927970788,,0.6895511150360107,
1425,,-0.4142095446586609,,9.306546211242676
1488,0.8733120713909607,-0.7494080066680908,0.2849186956882477,9.823709487915039
1548,1.1200645587400506,-0.8308133482933044,0.25858166813850403,8.966559410095215
1610,1.1045866773207698,-0.11971373856067657,1.07024085521698,8.794171333312988
1674,,,1.3168511390686035,
1675,0.7207679202511226,-0.8284190893173218,,9.217958450317383
1751,1.122057457328178,-0.7470137476921082,1.9656996726989746,9.16288948059082
1805,1.1851806074844364,-1.252205729484558,0.8619389533996582,10.71198558807373
1875,,,0.9194015264511108,
1876,2.723634825849695,-1.2641770839691162,,12.387977600097656
1948,2.811393265726795,0.6632141470909119,-0.41660380363464355,11.324919700622559
2001,1.6987423283710401,-0.7781392931938171,-0.5219519138336182,9.948211669921875
2063,,,-0.21069619059562683,
2064,1.727866116494076,-0.06464541703462601,,9.35203742980957
2133,,,0.7805336117744446,
2134,0.9506856627360961,0.05506832152605057,,8.949799537658691
2191,1.495729486726791,-0.5219519138336182,0.8188419938087463,8.260248184204102
2251,1.0380557352806015,0.07182824611663818,1.0558751821517944,8.887548446655273
2315,0.4633716707297815,-0.16759923100471497,1.0486923456192017,9.818921089172363
2379,0.5758551292692465,0.06943397223949432,1.7238779067993164,9.917086601257324
2444,1.6346470506112387,0.2944957911968231,1.2378400564193726,11.154926300048828
2508,1.6902454789327894,-0.90024733543396,0.8739103078842163,11.379987716674805
2579,2.2159242500551373,-0.30886146426200867,-0.14365649223327637,11.7606782913208
2639,0.9553652840688887,-0.5913859009742737,0.1412622183561325,10.458192825317383
2702,0.6109286822294894,-0.07422251999378204,0.31125572323799133,9.845257759094238
2773,,,0.0023942748084664345,
2774,1.1119402924054946,-1.1157320737838745,,
2775,,,,9.61301326751709
2837,1.1006286125405427,-0.21069619059562683,1.0750293731689453,7.575485706329346
2892,0.28669023086115425,-0.3184385597705841,1.0103839635849,9.462174415588379
2957,1.313138579380536,-0.8643332123756409,1.6520496606826782,8.628966331481934
3025,1.3103141748630074,-0.8379961848258972,1.4940274953842163,9.897932052612305
3082,0.6538070211469955,,,
3085,,,0.9936240315437317,
3086,,-1.1564347743988037,,11.138166427612305
3156,,,1.4868446588516235,
3157,1.6100004888024388,0.5674431324005127,,10.467769622802734
3224,1.8077422211619074,-0.6823683381080627,-0.33519846200942993,10.7622652053833
3276,1.0036893380196552,0.56504887342453,0.6584255695343018,9.87398910522461
3339,0.72230385100991,,,
3357,,0.2370332032442093,-0.0023942748084664345,11.083098411560059
3415,1.603135095159263,,,
3416,,,0.5315290093421936,
3418,,0.112530916929245,,9.313729286193848
3478,1.8383160705770367,-0.05267404764890671,1.07024085521698,7.934626579284668
3545,1.856815210982888,-0.06464541703462601,1.1348862648010254,8.937828063964844
3599,0.5881026889894577,-0.39266106486320496,1.1875603199005127,9.30415153503418
3661,0.619578883298975,-0.28013014793395996,1.7478206157684326,9.890748977661133
3730,1.2438402516960114,-0.6775797605514526,1.5586729049682617,10.757476806640625
3788,3.0592949113503685,0.36871832609176636,0.9433442950248718,12.704022407531738
3857,1.6097062149692851,,0.05267404764890671,
3858,,-1.2929084300994873,,10.78141975402832
3928,1.696755845187545,-0.05267404764890671,0.31125572323799133,9.703995704650879
3990,,,-0.2370332032442093,
3991,1.273988288699807,-0.6249057054519653,,9.912297248840332
4057,,,0.48124924302101135,
4058,1.0599969101806808,-0.5171633362770081,,8.789382934570312
4120,1.655651848223607,-0.6919454336166382,0.8739103078842163,8.123774528503418
4186,1.6612123249451904,-0.8116591572761536,1.101366400718689,9.462174415588379
4250,0.5149154115391897,-1.3647366762161255,1.611346960067749,9.639349937438965
4297,,,1.4676904678344727,
4298,0.9445185519264929,-0.9529213905334473,,10.477346420288086
4362,0.9207347995519432,,,
4363,,-0.8403904438018799,1.2378400564193726,11.430268287658691
4427,1.7350945569526672,,,
4428,,1.3767080307006836,0.36392977833747864,11.581107139587402
4499,2.7528248063616876,,,
4500,,-1.8220431804656982,-0.4620950520038605,9.636956214904785
4560,1.5175509456522858,0.6033572554588318,0.4261809289455414,9.083878517150879
4633,0.8670338331284767,-0.7565908432006836,0.06464541703462601,9.857229232788086
4690,1.37963817503945,-0.7254652380943298,0.90024733543396,8.382355690002441
4747,1.3762340643130788,,,
4765,,-0.04309694468975067,0.8643332123756409,9.392740249633789
4815,,,1.1755889654159546,
4816,0.7591293534182777,-0.1245022863149643,,9.143735885620117
4876,0.5288833748450309,-0.5387118458747864,1.211503028869629,9.665687561035156
4942,1.3573515290618916,-0.41181525588035583,1.3479766845703125,10.90352725982666
5019,1.667725520747308,-0.8739103078842163,1.211503028869629,11.348862648010254
5080,2.092304129052688,-0.12689656019210815,0.5315290093421936,11.765466690063477
5130,1.269479838577401,-1.2330515384674072,-0.026337023824453354,10.146936416625977
5194,,0.028731297701597214,0.8930644989013672,9.13415813446045
5195,0.7880984167082369,,,
5272,1.479686681471279,-0.8068706393241882,-0.04309694468975067,10.448615074157715
5323,1.02415097824964,-0.7374366521835327,0.5985686779022217,
5337,,,,8.858817100524902
5404,1.5650523891759913,-0.9553156495094299,0.7948992252349854,8.277008056640625
5457,0.6232179986700256,-0.282524436712265,1.1995316743850708,9.237112045288086
5518,1.0045751577071274,-0.8140534162521362,1.6855695247650146,9.148524284362793
5600,0.7331299880980862,-0.1604164093732834,1.7071179151535034,10.039194107055664
5661,0.6595070711180478,-0.699128270149231,1.2761484384536743,
5662,,,,11.430268287658691
5707,1.7532889930330426,0.12929083406925201,1.3886793851852417,12.000104904174805
5789,1.666359904986548,0.5075862407684326,0.18196488916873932,10.956201553344727
5837,1.7042315326958695,-1.0271438360214233,0.4597007632255554,8.288979530334473
5910,1.79986171456131,1.1037607192993164,0.04309694468975067,9.538790702819824
5970,,,-0.18435916304588318,
5971,1.550559693467682,-0.9960182905197144,,10.779025077819824
6027,1.9246561659863528,0.25618740916252136,1.3671308755874634,8.087860107421875
6092,1.8847477887352286,0.15562786161899567,0.8284190893173218,9.658504486083984
6153,0.6457308846914573,-0.5171633362770081,0.6201171875,9.778218269348145
6228,0.7591292749011613,-0.3232271075248718,1.4557191133499146,9.3233060836792
6290,0.6753668644676498,0.48843204975128174,1.2785427570343018,9.335277557373047
6355,0.4765005071373129,-1.0462981462478638,1.0247496366500854,9.897932052612305
6432,3.0084403831758966,0.15802213549613953,-0.23224465548992157,12.500508308410645
6496,3.165020531562151,-2.8060901165008545,-0.6895511150360107,11.456604957580566
6536,1.497943262846519,0.1005595400929451,-0.09098244458436966,10.247496604919434
6604,2.5336017750846156,-1.8699285984039307,-0.41660380363464355,8.207573890686035
